[6396:19704:0418/230540.514:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[8148:13888:0418/235003.377:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #112).
[8148:13888:0418/235003.423:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #114).
[8148:13888:0418/235003.454:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #114).
[8148:13888:0418/235003.455:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #114).
[8148:13888:0418/235003.486:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #114).
[8148:13888:0418/235003.504:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #114).
[8148:13888:0418/235003.510:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #114).
[8148:13888:0418/235003.532:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #114).
[8148:13888:0418/235003.546:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #114).
[8148:13888:0418/235003.561:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #114).
[8148:13888:0418/235003.577:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #114).
[8148:13888:0418/235003.592:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #114).
[8148:13888:0418/235003.609:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #114).
[8148:13888:0418/235003.624:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #114).
[8148:13888:0418/235003.639:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #114).
[8148:13888:0418/235003.672:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #114).
[8148:13888:0418/235003.685:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #114).
[8148:13888:0418/235003.703:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #114).
[8148:13888:0418/235003.749:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #116).
[8148:13888:0418/235003.775:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #116).
[8148:13888:0418/235003.781:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #116).
[8148:13888:0418/235003.888:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #116).
[8148:13888:0418/235003.919:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #116).
[8148:13888:0418/235003.935:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #116).
[8148:13888:0418/235003.952:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #116).
[8148:13888:0418/235003.969:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #116).
[8148:13888:0418/235003.984:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #116).
[8148:13888:0418/235003.998:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #116).
[8148:13888:0418/235004.013:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #116).
[8148:13888:0418/235004.028:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #116).
[8148:13888:0418/235004.098:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #119).
[8148:13888:0418/235004.108:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #119).
[8148:13888:0418/235004.124:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #119).
[8148:13888:0418/235004.152:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #119).
[8148:13888:0418/235004.171:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #119).
[8148:13888:0418/235004.185:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #119).
[8148:13888:0418/235004.200:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #119).
[8148:13888:0418/235004.217:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #119).
[8148:13888:0418/235004.233:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #119).
[8148:13888:0418/235004.247:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #119).
[8148:13888:0418/235004.263:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #119).
[8148:13888:0418/235004.279:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #119).
